Spectraltype,Temperature (K),absolute-magnitude
K0D,5002,2.231852901
G0V,5892,4.353343007
G5V,5668,4.89180913
K0III,5148,2.37809602
G5D,5771,3.388199987
K2III,4152,-0.994778485
G0V,5965,4.445735735
F3V,6933,2.965173718
G0V,5984,3.886062744
K1V,5170,6.132886711
DA+M5V,16487,9.449079607
F9V,6233,3.49184381
K0V,5272,5.336194143
G3V,5588,4.434359512
K2V,4875,6.282872107
K0III,4932,2.260885713
G9III,4861,1.002267687
M1.5V,3553,10.04514218
K0V,5582,4.939557092
M4V,3189,11.66561966
M2.5V,3318,10.65456247
K1V,5106,5.888514139
K5V,4641,6.880037536
G6V,5432,4.484183613
G8V,5291,5.693273494
K2III,4908,1.772566826
G2V,5652,5.071525891
K0III,5054,2.342646085
G3IV,5607,5.786901649
K2V,4799,6.302886711
G9III,6397,0.861835854
F8V,6311,3.910361608
M8V,2446,15.28215161
G9V,5333,5.579352019
G5IV,5624,5.233642963
G5IV,5797,4.483549809
F9V,6067,4.100023739
K0III,4956,2.171852901
G5V,5407,4.758981328
G0V,5844,4.674939865
G5V,5583,4.756630557
K1Vp,4944,4.41304305
K2III,4445,-0.114604487
sdB+MV,16550,2.471110345
G8V,5407,5.265776
pulsar,28856,16.92100179
M2Ve,3683,9.428214182
G4V,5762,5.735318718
K9V,4685,8.087115447
K3V,4351,6.511492897
F9V,5934,4.365279439
K0V,5105,6.006758151
G3V,5662,3.897722128
G5V,5531,5.071342008
K1III-IV,4951,2.5860019
G4V,5432,3.712872107
G8IV/V,5432,4.680013388
G2V,5861,4.280023739
K0V,5200,3.332642951
sdB,33247,-1.284855792
K0V,5185,6.113343007
F7V,6309,3.529281285
K4V,4645,6.724587601
G7V,5878,4.248555245
G2V,5834,4.280545491
K4V,4652,7.069867401
K1V,5016,5.767258503
K3III,4260,-0.165190436
K1V,5079,6.129699719
G3V,5547,4.388323355
G3V,5897,4.657265833
K4Vk,4520,6.801925203
G2V,5831,4.473152186
K0IV,5585,4.393390435
G4V,5633,4.950023739
G8V,5398,5.275923286
K7Vk,4283,8.504678539
K0V,4965,6.415163366
K1V,5260,5.699699719
G8V,5233,4.725063298
K0V,5260,5.552946041
G2V,5791,5.066224192
K0III-IV,4927,2.751659922
G8V,5226,5.663023938
G0V,5885,4.295170797
G0V,5985,4.552483925
T9.5,531,17.94288671
F9V,6074,3.786509581
G0V,5944,4.378996709
G5V,5559,4.370037536
G6IV,5520,4.744639909
G8V,5266,5.13119294
K4III,4344,-0.412283195
G5III,5071,2.921382273
M3V,3484,11.62198219
F9V,5857,3.571984812
G4V,5610,4.810925978
K2III,4445,0.855525296
K1V,5103,5.188016988
K9V,4110,8.434939865
K4III,4703,0.619828517
K0.4V,5240,5.741082317
G5IV,6295,5.549557092
K1IVa,4921,2.408956192
G3V,5821,4.71118567
WD+M,18858,8.226053286
K0III,4878,2.433791084
G1V,5834,4.661042052
F6V,6549,3.347299083
G0V,5821,5.115063298
G1V,5824,4.729761019
K7V,4062,7.167422172
K4V,4757,1.067923056
K0V,5382,5.011042052
K0V,5311,5.457757887
G3V,6046,4.42286701
M3V,3191,10.54664288
F8IV,6152,4.133801844
F8IV,6289,3.418588006
G9V,5441,5.206491987
pulsar+DB,29418,11.31131717
G5V,5701,4.830885713
G1V,5810,4.150585756
K0IV,5052,3.03934562
G0IV,6147,3.660633345
G0IV,5732,3.940375318
G0V,5801,4.875776
G6V,5499,4.594287645
K0III,5155,2.198355292
G3IV,5749,3.763349918
M1V,3703,9.52973758
G8V,5468,5.38048299
K0IV,5205,5.329992197
F8V,6076,3.899557092
K8V,4120,9.063608805
K2V,4804,6.653133017
G0V,5760,4.045319705
G3IV,5714,4.165719889
G5V,5445,3.216400734
K0V,5453,5.269397358
M4.5V,3026,14.12088571
K2V,4917,6.47168223
M1.5V,3950,10.97849298
pulsar,32451,12.10629399
G1Vw,5794,2.97286701
F5V,6602,3.416758151
G8.5V,5348,5.341965468
K3III,4897,2.562548664
M2.5V,3614,11.07582359
M0V,3857,8.495163366
G5V,5395,3.401965329
G3IV-V,5704,4.179281285
M1V,4026,10.14391721
M1V,3891,7.438718528
G6V,5632,5.086867924
G4V,5722,4.695982616
M1V,3998,9.008423472
F9V,6186,3.386534537
G5IV,5543,3.965892073
M5V,2986,14.08597368
M5V,3241,13.91003095
M1.5V,3787,2.038117001
K7V,4233,8.936671212
G9V,5820,5.523029256
F8V,6234,3.754562171
