Spectraltype,Temperature (K),absolute-magnitude
,6373,3.82952407
,6300,3.830724024
,5825,3.833217753
,5825,3.833217753
,5825,3.833217753
,6431,3.837292976
,6187,3.837414609
,29300,3.839359822
,5522,3.840011614
,5522,3.840011614
,5763,3.844169578
,6069,3.845426121
,6267,3.846857717
,5770,3.849130452
,5770,3.849130452
,4815,3.850724024
,6099,3.851594852
,6099,3.851594852
,6099,3.851594852
,6319,3.854053505
,5909,3.854916059
,,3.855739942
,6170,3.855952004
,5845,3.858291307
,5845,3.858291307
,6129,3.861463671
,,3.864751308
,6067,3.86712908
,6067,3.86712908
,6003,3.869535055
,6185,3.870862127
,6194,3.871994881
,6194,3.871994881
,5979,3.874895848
,5720,3.875591817
,6327,3.881124047
,6327,3.881124047
,6182,3.881790122
,6182,3.881790122
,6182,3.881790122
,6182,3.881790122
,5793,3.882219853
,5786,3.884544318
,5786,3.884544318
,5786,3.884544318
,6064,3.884888653
,6747,3.885368676
,6256,3.889895729
,6350,3.890793813
,6261,3.891833304
,6289,3.894531952
,6273,3.897130344
,6308,3.901260733
,5599,3.90133608
,6075,3.9020999
,6299,3.904476064
,5932,3.905184405
,6260,3.90578076
,6170,3.908493082
,5910,3.911564238
,6025,3.912583195
,6136,3.913670023
,5577,3.913789486
,6100,3.914850022
,6065,3.91498369
,5743,3.916462384
,5887,3.91663056
,6302,3.917415495
,6302,3.917415495
,5995,3.918351934
,5995,3.918351934
,6302,3.918487496
,5780,3.919641403
,5828,3.922550065
,5828,3.922550065
,5828,3.922550065
,6296,3.923950152
,5491,3.924688998
,5491,3.924688998
,6174,3.924884596
,6174,3.924884596
,6174,3.924884596
,6174,3.924884596
,6324,3.926178669
,6113,3.930080716
,6186,3.936251595
,6186,3.936251595
,6186,3.936251595
,6221,3.936395235
,5884,3.936430301
,5884,3.936430301
,5884,3.936430301
,5851,3.940650195
,5851,3.940650195
,5851,3.940650195
,5851,3.940650195
,5757,3.940818294
,6030,3.942547285
,6030,3.942547285
,5736,3.947053358
,5952,3.949764809
,5952,3.949764809
,6241,3.950546374
,6055,3.951067822
,5800,3.953920713
,5537,3.954053795
,6158,3.956660689
,6124,3.960396039
,6133,3.964495709
,6133,3.964495709
,6150,3.966080716
,6229,3.967935171
,5754,3.968439985
,6117,3.968777808
,6117,3.968777808
,6117,3.968777808
,5653,3.969931133
,5653,3.969931133
,6212,3.97115122
,5879,3.972819767
,6139,3.973314439
,6700,3.980299957
,6090,3.981337518
,6090,3.981337518
,6090,3.981337518
,6090,3.981337518
,6199,3.982750912
,6202,3.98352742
,6202,3.98352742
,5751,3.987717338
,5890,3.989487496
,6150,3.989764809
,6209,3.99003729
,6304,3.991213455
,6260,3.992018542
,6010,3.993200568
,5664,3.994063368
,6331,3.99502961
,5913,3.995991836
,6247,3.996360732
,6335,3.997757104
,6058,3.997774993
,5857,3.998186553
,6234,3.999852055
,5879,4.007141473
,5879,4.007141473
,5879,4.007141473
,5879,4.007141473
,5879,4.007141473
,5879,4.007141473
,5945,4.009533846
,5960,4.010599913
,6123,4.017851531
,6170,4.02019119
,6165,4.021030606
,6165,4.021030606
,6165,4.021030606
,6104,4.022049967
,6224,4.022851309
,6277,4.023974005
,5601,4.025754218
,5601,4.025754218
,6154,4.0258644
,5542,4.026202648
,6117,4.027552263
,6209,4.030053505
,6207,4.030067822
,6206,4.034708393
,6188,4.041809494
,6265,4.041905259
,6430,4.042605415
,5839,4.04637731
,5997,4.048527395
,6165,4.049433792
,6132,4.049469791
,5977,4.049891574
,6236,4.049940101
,6086,4.05113326
,5742,4.052678689
,6168,4.054916358
,6138,4.055960203
,6195,4.056660765
,6155,4.057360808
,6169,4.057550065
,6169,4.057550065
,5746,4.059541001
,6160,4.060724024
,6227,4.061010096
,6191,4.062088622
,6260,4.063625986
,6350,4.06409377
,6113,4.064860625
,6304,4.065672137
,6065,4.066697627
,6065,4.066697627
,5940,4.068903526
,5950,4.07018454
,5809,4.07267261
,6194,4.073639599
,5758,4.073860517
,6054,4.074355548
,6054,4.074355548
,5824,4.076414609
,6140,4.078448547
,6167,4.079547272
,6195,4.083907646
,5914,4.085772284
,5914,4.085772284
,6092,4.086631177
,6092,4.086631177
,6092,4.086631177
,6092,4.086631177
,6239,4.089201194
,6563,4.090104268
,5640,4.090628192
,6162,4.091645386
,6250,4.093793813
,6136,4.099203483
,5905,4.102657722
,5905,4.102657722
,6163,4.103017969
,6250,4.10409377
,5966,4.106097208
,6149,4.108031201
,5748,4.108054415
,5748,4.108054415
,6217,4.110396777
,5699,4.113981369
,6241,4.11556927
,6159,4.11569189
,5988,4.117114368
,6214,4.121945912
,5620,4.122028166
,5620,4.122028166
,6165,4.122778832
,6160,4.123623382
,6200,4.128137367
,6340,4.129020739
,6340,4.129020739
,5596,4.129347688
,5596,4.129347688
,6740,4.129455436
,6179,4.13090896
,6182,4.136007376
,6176,4.136904513
,6160,4.138750512
,6160,4.138750512
,6081,4.139233482
,6081,4.139233482
,6474,4.142783012
,6474,4.142783012
,6129,4.143542846
,5820,4.147057625
,6186,4.147114462
,6186,4.147114462
,6004,4.147228105
,6004,4.147228105
,6004,4.147228105
,6004,4.147228105
,6040,4.147252199
,5802,4.147345763
,6351,4.150837832
,6198,4.151254351
,6250,4.151445034
,6250,4.151445034
,,4.152905371
,6213,4.152940252
,5743,4.153130515
,6063,4.154410241
,6075,4.154520602
,5849,4.155020598
,5684,4.155351201
,5684,4.155351201
,5807,4.156414237
,5807,4.156414237
,6150,4.158785786
,6132,4.159294245
,5961,4.159413174
,6351,4.15950899
,6224,4.164377008
,6184,4.167128159
,5755,4.167290452
,6022,4.167981369
,6064,4.168037785
,5900,4.169700043
,6117,4.170413115
,5688,4.171046948
,5758,4.173274618
,6115,4.173438668
,6115,4.173438668
,5896,4.173455436
,5752,4.177847318
,6012,4.177967312
,6012,4.177967312
,5922,4.177991163
,6155,4.178141093
,6167,4.181884596
,,4.182978984
,,4.182978984
,5807,4.182985485
,5807,4.182985485
,5807,4.182985485
,5807,4.182985485
,6509,4.184753912
,6509,4.184753912
,6509,4.184753912
,6136,4.186377008
,5948,4.187800805
,5948,4.187800805
,5905,4.190201541
,5905,4.190201541
,5905,4.190201541
,6143,4.190283647
,5880,4.191495709
,6158,4.19174892
,5827,4.194343565
,5827,4.194343565
,6091,4.195646112
,6091,4.195646112
,6166,4.196020739
,6166,4.196020739
,5599,4.196916281
,6440,4.198059865
,6179,4.199247416
,6125,4.200769048
,6060,4.203001509
,6159,4.204896722
,5900,4.207430301
,6050,4.207547143
,6357,4.207912017
,6077,4.209019856
,6077,4.209019856
,6091,4.209119563
,6089,4.209265619
,6089,4.209265619
,6097,4.210009625
,5700,4.210063368
,5783,4.212850201
,5800,4.213036574
,6126,4.213634063
,6126,4.213634063
,5867,4.215361331
,6167,4.216007186
,6150,4.216430301
,6157,4.21710253
,6170,4.218376045
,6166,4.219618846
,6140,4.220141093
,6040,4.223637474
,6174,4.225138344
,6402,4.22530012
,6402,4.22530012
,6335,4.226344102
,6335,4.226344102
,5736,4.226620652
,5736,4.226620652
,5627,4.227313693
,5627,4.227313693
,5644,4.228706833
,5972,4.234469528
,5956,4.236196482
,6168,4.236625063
,6180,4.240036574
,5900,4.244324791
,5900,4.244324791
,6133,4.245101219
,6297,4.246128159
,5732,4.248946924
,5800,4.250915396
,6113,4.250981472
,6067,4.253736618
,5967,4.254007222
,6202,4.254222732
,6038,4.256341217
,6168,4.256774891
,5908,4.257075977
,6326,4.260341509
,6326,4.260341509
,6137,4.260935764
,6074,4.26187129
,6074,4.26187129
,6092,4.268701849
,6175,4.269166918
,5727,4.269258126
,5727,4.269258126
,5952,4.272722887
,5952,4.272722887
,,4.273550901
,6098,4.27409589
,6118,4.274302838
,5800,4.274393726
,5932,4.27513145
,6161,4.275665329
,6771,4.277645177
,5869,4.278249837
,6230,4.279400087
,5990,4.280392377
,6087,4.283126338
,6087,4.283126338
,6080,4.28687153
,5884,4.289549206
,5884,4.289549206
,6035,4.291116542
,6100,4.291710647
,6346,4.29214912
,5636,4.297543705
,5636,4.297543705
,5852,4.298128344
,5852,4.298128344
,6089,4.298434888
,5500,4.299803159
,5888,4.301631728
,5888,4.301631728
,5888,4.301631728
,5933,4.301963565
,6045,4.30290896
,6045,4.30290896
,6074,4.303055931
,5990,4.30409377
,5867,4.308323676
,5867,4.308323676
,5867,4.308323676
,5842,4.309133782
,6154,4.309165323
,6069,4.312920609
,6112,4.313812726
,5938,4.314924679
,5938,4.314924679
,5783,4.315611471
,5783,4.315611471
,6123,4.31574538
,6123,4.31574538
,5904,4.319176107
,6060,4.320431436
,5863,4.322019856
,6177,4.324477662
,6016,4.324667967
,6016,4.324667967
,6218,4.324754534
,5948,4.325266103
,5948,4.325266103
,5890,4.327345546
,5945,4.330034181
,6116,4.331138278
,5747,4.331582948
,6078,4.332891773
,6112,4.337174486
,6112,4.337174486
,5793,4.338331158
,5793,4.338331158
,5793,4.338331158
,6146,4.338612043
,6053,4.338787453
,6248,4.341044855
,6248,4.341044855
,6248,4.341044855
,5960,4.342605415
,6080,4.343526987
,6080,4.343526987
,6080,4.343526987
,6080,4.343526987
,6080,4.343526987
,6080,4.343526987
,6080,4.343526987
,6080,4.343526987
,6040,4.344853204
,5987,4.347694296
,5987,4.347694296
,6191,4.34778206
,6109,4.347928781
,6052,4.3487935
,6152,4.349383062
,6152,4.349383062
,5892,4.350604568
,5892,4.350604568
,5892,4.350604568
,6104,4.352785786
,5905,4.353295197
,5905,4.353295197
,5998,4.354708256
,6037,4.360119043
,6037,4.360119043
,6087,4.360720642
,5816,4.362709852
,5911,4.364563675
,5911,4.364563675
,5911,4.364563675
,5911,4.364563675
,5911,4.364563675
,5911,4.364563675
,5977,4.365988397
,5977,4.365988397
,6000,4.366641142
,6272,4.367246417
,6050,4.367544318
,6050,4.367544318
,6050,4.367544318
,6050,4.367544318
,6050,4.367544318
,5949,4.369117583
,5949,4.369117583
,6095,4.369758982
,6095,4.369758982
,5987,4.369923126
,5966,4.37092317
,5966,4.37092317
,5790,4.374657226
,5790,4.374657226
,5790,4.374657226
,5889,4.375031201
,6100,4.37513326
,6046,4.379599913
,6068,4.383308047
,6079,4.384776516
,5674,4.384815307
,6058,4.385703308
,5886,4.388768824
,5886,4.388768824
,5923,4.390201781
,5738,4.390295197
,5886,4.395057625
,5854,4.395781143
,6045,4.396187808
,5921,4.400284574
,5956,4.401361942
,5956,4.401361942
,5828,4.401694296
,5828,4.401694296
,5828,4.401694296
,5751,4.401982759
,5751,4.401982759
,5751,4.401982759
,5751,4.401982759
,5751,4.401982759
,6064,4.404647278
,6064,4.404647278
,6099,4.404706174
,6010,4.405535084
,6010,4.405535084
,5502,4.40590089
,5502,4.40590089
,5848,4.406305863
,5848,4.406305863
,5600,4.406457147
,5600,4.406457147
,5600,4.406457147
,5600,4.406457147
,6010,4.407449076
,6059,4.408923239
,6003,4.410786857
,6003,4.410786857
,6003,4.410786857
,6003,4.410786857
,5892,4.412809494
,6148,4.414053795
,6027,4.415799051
,5877,4.417851531
,6031,4.421541415
,6169,4.422719756
,6169,4.422719756
,5544,4.425572927
,6067,4.42722067
,5940,4.429210842
,5979,4.430853204
,5979,4.430853204
,5588,4.43151071
,6185,4.432758982
,5981,4.4333522
,6051,4.435612043
,5679,4.437227347
,5995,4.439235721
,5593,4.440636879
,5593,4.440636879
,5593,4.440636879
,5600,4.443191531
,5979,4.445485912
,6077,4.446174881
,5956,4.446355548
,5740,4.447931133
,5954,4.447939647
,5647,4.448739942
,5945,4.449535678
,6014,4.450391768
,6011,4.45090896
,5600,4.451299098
,6224,4.452264634
,6224,4.452264634
,6002,4.453077052
,5986,4.45737083
,6005,4.458169426
,5905,4.460037248
,5568,4.463961855
,6000,4.464615425
,5816,4.464757104
,5816,4.464757104
,6014,4.464988299
,6080,4.465520199
,5950,4.468341509
,5990,4.468352018
,5980,4.468429705
,5980,4.468429705
,5859,4.470850048
,5954,4.471617695
,6007,4.475463671
,5975,4.477393726
,5985,4.477433738
,5812,4.479368301
,5812,4.479368301
,6020,4.479614984
,5655,4.480427644
,5955,4.480537463
,5512,4.481640912
,5512,4.481640912
,6105,4.482904513
,6105,4.482904513
,5871,4.486362393
,6089,4.486763559
,6089,4.486763559
,6089,4.486763559
,5970,4.487333205
,6021,4.488055625
,5946,4.488659778
,5983,4.488868169
,5983,4.488868169
,5770,4.49060993
,6028,4.495153243
,5974,4.495424262
,5986,4.498417575
,5986,4.498417575
,6082,4.49886751
,5975,4.499923126
,5991,4.500477662
,6087,4.502186553
,5841,4.503368388
,5841,4.503368388
,5841,4.503368388
,5965,4.505811877
,5931,4.50638042
,5753,4.507852016
,5753,4.507852016
,5753,4.507852016
,5850,4.508676965
,6058,4.508745198
,6083,4.510420685
,27730,4.510589963
,27730,4.510589963
,5892,4.511132165
,5964,4.511392021
,5830,4.517266928
,5830,4.517266928
,6050,4.517560518
,5688,4.519939744
,5932,4.520458101
,5665,4.521726533
,5665,4.521726533
,6158,4.524175728
,5967,4.52553146
,5967,4.526459952
,6091,4.527116634
,6209,4.52721083
,6209,4.52721083
,5616,4.527284574
,5961,4.527769048
,5897,4.52909377
,5897,4.52909377
,5897,4.52909377
,5897,4.52909377
,6020,4.532026073
,5904,4.532073397
,5645,4.532376974
,5645,4.532376974
,5764,4.53257418
,5764,4.53257418
,5764,4.53257418
,5652,4.5334658
,5894,4.533847318
,5973,4.534299957
,5780,4.534396991
,5957,4.536086541
,6037,4.538035715
,5965,4.538330825
,5943,4.541001509
,5948,4.541744551
,5961,4.541928148
,5797,4.542412731
,5742,4.542594505
,5993,4.543151487
,5874,4.543641989
,6024,4.543884143
,5865,4.543992703
,5940,4.5455197
,5695,4.548708393
,5701,4.551359822
,5701,4.551359822
,5882,4.551994881
,5793,4.552548432
,5790,4.552923239
,6012,4.555196482
,5941,4.555568213
,6035,4.557653972
,6280,4.558620652
,5898,4.558751806
,5898,4.558751806
,5898,4.558751806
,5600,4.559547143
,5600,4.559547143
,5840,4.562323676
,5902,4.56421083
,6116,4.565563305
,5971,4.565768848
,5956,4.566057809
,5711,4.569474769
,5711,4.569474769
,5711,4.569474769
,5400,4.569659778
,5983,4.569797782
,5940,4.571580674
,5769,4.572658638
,5834,4.573081112
,5943,4.574524178
,5943,4.574524178
,6090,4.574546374
,5927,4.574567554
,5927,4.574567554
,5726,4.575993091
,5971,4.576064765
,5802,4.578552351
,5913,4.578635732
,6062,4.58290385
,5721,4.584607181
,5754,4.586917844
,5754,4.586917844
,5650,4.587778832
,5849,4.588415597
,5783,4.590136529
,5783,4.590136529
,5860,4.590625663
,5913,4.592397306
,5946,4.594036574
,5750,4.596916664
,5738,4.598978501
,5748,4.5990196
,5887,4.600229443
,5594,4.600319725
,5594,4.600319725
,5890,4.603237421
,5913,4.604477662
,5958,4.605509939
,5901,4.609
,6018,4.609003656
,5944,4.609811877
,5858,4.611117291
,5858,4.611117291
,5858,4.611117291
,5858,4.611117291
,6014,4.611385699
,6014,4.611385699
,5935,4.611719756
,6127,4.61390385
,5936,4.614227347
,6000,4.614393726
,5730,4.615516985
,5884,4.616025119
,5765,4.617434552
,5765,4.617434552
,5660,4.620268559
,27500,4.620325182
,27500,4.620325182
,27500,4.620325182
,5600,4.620393131
,5909,4.620544318
,5716,4.621920895
,5895,4.623495335
,6088,4.624381974
,6088,4.624381974
,5980,4.624925999
,6031,4.625213977
,6031,4.625213977
,6031,4.625213977
,6031,4.625213977
,6031,4.625213977
,5905,4.625520721
,5781,4.625550065
,5725,4.626958836
,5920,4.627895499
,5774,4.629590912
,5774,4.629590912
,5774,4.629590912
,5892,4.630449076
,5903,4.630519199
,5870,4.631917905
,5914,4.632657722
,5713,4.633924679
,5880,4.635591618
,5748,4.637625809
,5748,4.637625809
,5976,4.637930738
,5976,4.637930738
,5992,4.638482348
,6018,4.640952773
,6018,4.640952773
,6018,4.640952773
,6165,4.641594573
,6165,4.641594573
,5972,4.64166948
,5871,4.641906566
,5902,4.644176052
,5606,4.645170489
,5556,4.645503867
,5556,4.645503867
,5870,4.645786857
,5622,4.647263138
,5622,4.647263138
,5911,4.647498392
,5948,4.648591781
,5948,4.648591781
,5790,4.648858235
,5950,4.649526987
,5866,4.650459785
,,4.651230405
,5837,4.652216315
,5597,4.65287009
,5770,4.65613326
,6026,4.656546374
,5909,4.656546755
,5838,4.657041553
,5974,4.65801098
,5820,4.659395235
,5588,4.660831417
,5800,4.66092317
,5926,4.661459952
,5690,4.661476008
,5869,4.666280322
,6031,4.666574906
,6031,4.666574906
,5950,4.666920433
,5810,4.667605415
,5904,4.668497507
,6010,4.668853204
,5884,4.669572909
,5800,4.66964573
,5685,4.669660689
,5685,4.669660689
,5869,4.669763412
,5869,4.669763412
,5498,4.672359822
,5498,4.672359822
,5498,4.672359822
,5863,4.673169747
,5957,4.673253758
,5807,4.676651996
,5906,4.676809757
,6060,4.678536025
,5849,4.683986542
,5844,4.685480803
,6019,4.685632326
,5645,4.686003567
,5857,4.686522632
,5865,4.687360732
,5784,4.689308141
,6023,4.690361942
,6023,4.690361942
,5837,4.690368789
,5782,4.690963855
,5817,4.691124971
,5817,4.691124971
,5923,4.692312712
,5727,4.69423554
,5920,4.697102015
,5870,4.69989453
,5904,4.701618379
,5841,4.703574906
,5841,4.703574906
,5551,4.703750512
,5551,4.703750512
,5551,4.703750512
,5551,4.703750512
,5899,4.705553711
,5928,4.706710539
,5963,4.706972567
,5746,4.707247686
,5863,4.707486509
,5863,4.707486509
,5552,4.70804334
,5552,4.70804334
,5867,4.70851392
,5662,4.708615778
,5667,4.712173152
,5667,4.712173152
,5835,4.713305458
,5835,4.713305458
,5835,4.713305458
,5835,4.713305458
,5913,4.714351201
,5736,4.718235128
,5736,4.718235128
,5774,4.718508941
,5774,4.718508941
,5746,4.719653972
,5850,4.719830387
,5934,4.721272247
,5785,4.722258321
,5740,4.723769048
,5740,4.723769048
,5876,4.724056174
,5903,4.725484362
,5885,4.726057809
,5919,4.727624421
,5837,4.728868496
,5990,4.7305098
,5990,4.7305098
,5990,4.7305098
,5757,4.732097208
,5737,4.732571393
,5573,4.732917844
,5701,4.733220395
,5701,4.733220395
,5977,4.734305726
,5977,4.734305726
,5977,4.734305726
,5777,4.738433217
,5777,4.738433217
,5777,4.738433217
,5846,4.739001509
,5884,4.744379421
,5958,4.744898098
,5769,4.745983282
,5851,4.747342269
,5748,4.74852407
,5866,4.749343103
,5627,4.749769484
,5627,4.749769484
,5600,4.749943017
,5860,4.750175728
,5961,4.750746352
,5778,4.750791121
,5813,4.751754546
,5801,4.752138278
,5806,4.753981395
,5770,4.755013674
,5770,4.755013674
,5715,4.755070417
,6105,4.75528238
,6105,4.75528238
,6105,4.75528238
,5990,4.755404222
,5657,4.755843661
,5657,4.755843661
,5560,4.756703689
,5766,4.756937707
,5820,4.757332125
,5904,4.758417575
,5893,4.758607783
,5893,4.758607783
,5890,4.759654963
,5852,4.760983282
,5825,4.761559874
,5961,4.761835263
,5894,4.761913498
,6012,4.762381974
,6012,4.762381974
,5763,4.762735236
,5700,4.765190196
,5817,4.766870532
,5839,4.767095057
,5888,4.76798642
,5842,4.768414237
,6014,4.76853146
,,4.768651996
,,4.768651996
,5688,4.76889363
,5850,4.769101983
,5835,4.769668675
,5839,4.77018291
,6096,4.770727997
,5821,4.77283611
,5821,4.77283611
,5821,4.77283611
,5887,4.775741795
,5831,4.776279284
,5791,4.777535678
,5935,4.778618723
,5893,4.780708393
,5831,4.781596794
,5831,4.781596794
,5714,4.78290389
,5829,4.783173152
,5761,4.787359012
,5830,4.789667733
,5760,4.789943017
,5400,4.79136082
,5754,4.792356387
,5906,4.794
,5776,4.794676965
,5816,4.794988299
,6184,4.796768848
,6184,4.796768848
,5664,4.797224707
,5664,4.797224707
,5664,4.797224707
,5740,4.798362358
,5918,4.798963391
,5918,4.798963391
,5918,4.798963391
,5987,4.799263137
,5754,4.800183849
,5808,4.800793813
,5789,4.803481414
,5789,4.803481414
,5815,4.80372164
,5789,4.807247416
,5857,4.807709735
,5813,4.809396991
,5849,4.819904085
,5808,4.820589963
,5818,4.820703308
,5662,4.82152407
,6090,4.823380065
,5625,4.823637474
,5260,4.823637474
,5740,4.824293249
,5740,4.824293249
,5741,4.824891773
,5870,4.824906566
,5845,4.825157848
,5792,4.825913498
,5796,4.826546755
,5642,4.827263196
,5642,4.827263196
,5642,4.827263196
,5839,4.829480803
,5998,4.830547372
,5797,4.831655018
,5883,4.835368789
,5857,4.835526511
,5831,4.835622062
,5871,4.836203483
,5696,4.838360808
,5696,4.838360808
,5733,4.838779907
,5780,4.8391144
,5780,4.839297253
,5861,4.839809324
,5812,4.840287767
,5790,4.842602974
,5806,4.84372811
,5862,4.844269021
,5686,4.844927514
,5925,4.845624816
,5665,4.845661898
,5803,4.845744928
,5577,4.846940961
,5577,4.846940961
,5570,4.849489621
,5820,4.850945067
,5644,4.852697627
,5780,4.855045514
,5793,4.855985793
,5793,4.855985793
,5771,4.856757104
,5942,4.857143737
,5942,4.857143737
,5924,4.857596794
,5884,4.860694296
,5778,4.861958313
,5753,4.862510798
,5761,4.862907646
,5759,4.863408855
,5808,4.869898098
,5670,4.870191363
,5670,4.870191363
,6077,4.87066948
,5771,4.870853464
,5619,4.871218636
,5619,4.871218636
,5902,4.871574046
,5690,4.874169426
,5690,4.874169426
,5690,4.874169426
,5690,4.874169426
,5690,4.874169426
,5757,4.874348847
,5515,4.87449408
,5476,4.8745542
,5476,4.8745542
,5659,4.878299098
,5627,4.87881541
,5743,4.879168444
,5732,4.881120934
,5561,4.883628854
,5851,4.88389453
,5670,4.885464418
,5770,4.886073148
,5538,4.887082751
,5830,4.889190439
,5802,4.889800315
,5821,4.890643468
,5821,4.890643468
,5806,4.891706174
,5678,4.892870532
,5678,4.892870532
,5765,4.893063368
,5836,4.893651158
,6012,4.895928781
,6012,4.895928781
,6012,4.895928781
,6012,4.895928781
,5779,4.900037248
,5779,4.900037248
,5625,4.900072606
,5625,4.900072606
,5734,4.905591781
,5725,4.905793452
,5798,4.909117688
,5947,4.909243748
,5792,4.90937271
,5792,4.90937271
,5743,4.910055625
,5595,4.910480127
,5595,4.910480127
,5888,4.910669789
,5888,4.910669789
,6021,4.912459952
,6021,4.912459952
,5945,4.912470674
,5735,4.912746352
,5949,4.912848316
,5820,4.913278312
,5820,4.913278312
,5835,4.913939647
,5835,4.913939647
,5700,4.914393726
,5753,4.915097437
,5642,4.915458026
,5753,4.91612908
,5753,4.91612908
,5833,4.916621831
,5730,4.91864572
,5815,4.918980474
,5815,4.918980474
,5815,4.918980474
,5769,4.919071125
,5744,4.919305863
,5538,4.920860031
,5538,4.920860031
,5835,4.922578458
,5629,4.924619506
,5726,4.924636084
,5726,4.924636084
,6293,4.925227811
,5723,4.925431288
,5582,4.926173152
,5690,4.9264083
,5808,4.92686763
,5808,4.92686763
,5808,4.92686763
,5858,4.927665212
,5858,4.927665212
,5858,4.927665212
,5776,4.927909887
,5602,4.92811753
,5704,4.929136211
,5717,4.932812726
,5763,4.933699185
,5774,4.93388727
,5767,4.936331436
,5834,4.938244418
,5608,4.938606805
,5533,4.940591618
,5539,4.943676965
,5759,4.944622062
,5497,4.945200847
,5497,4.945200847
,5743,4.94760357
,7147,4.948286679
,5502,4.949714422
,5502,4.949714422
,5502,4.949714422
,6112,4.9515353
,5698,4.952547143
,5723,4.952589963
,5715,4.952753548
,5694,4.953694296
,5757,4.954239794
,5757,4.954239794
,5747,4.955284115
,5706,4.955510798
,5718,4.95617037
,5705,4.95641069
,5772,4.956774993
,5797,4.956984243
,5791,4.957877976
,5828,4.958469528
,5828,4.958469528
,5712,4.959227347
,5722,4.960553715
,5796,4.963164034
,5666,4.963413439
,5666,4.963413439
,5723,4.963437745
,5617,4.965500217
,5617,4.965500217
,5617,4.965500217
,5617,4.965500217
,5875,4.966249742
,5617,4.966343878
,5718,4.966646112
,5746,4.969095045
,5746,4.969095045
,5747,4.970848971
,5705,4.971905953
,5683,4.972280322
,5869,4.972930738
,,4.976652311
,,4.976652311
,5727,4.977607783
,5773,4.977922262
,5200,4.979475743
,5663,4.979763559
,5840,4.98110253
,5772,4.981615425
,5722,4.981909225
,5756,4.982544318
,5793,4.983200847
,5727,4.983660689
,5724,4.985615425
,5713,4.986025561
,5713,4.986025561
,5560,4.988309967
,5715,4.993147782
,5760,4.994371236
,5857,4.995020021
,5857,4.995020021
,5735,4.995051803
,5842,4.996274949
,5728,4.999330825
,5544,5.0013942
,5544,5.0013942
,5544,5.0013942
,5762,5.002135522
,5677,5.002634063
,5700,5.00409377
,5600,5.004742317
,5844,5.006621831
,5564,5.007303613
,5564,5.007303613
,5564,5.007303613
,5564,5.007303613
,5719,5.008500803
,5782,5.01158282
,5750,5.012357765
,5659,5.016431288
,,5.016715209
,5753,5.016932039
,5926,5.017743289
,5600,5.019201427
,5706,5.021754546
,5669,5.021906964
,5669,5.021906964
,5421,5.02289641
,5794,5.023479469
,5671,5.023829005
,5345,5.023960203
,5345,5.023960203
,5345,5.023960203
,5785,5.024495335
,5697,5.024790122
,5631,5.02667261
,5665,5.027174881
,5526,5.027434661
,5526,5.027434661
,5526,5.027434661
,5526,5.027434661
,5800,5.0275294
,5508,5.030998294
,5679,5.032055931
,5679,5.032055931
,5750,5.032546374
,5755,5.032793583
,5698,5.033258126
,5852,5.034906196
,5852,5.034906196
,5660,5.035400039
,5460,5.035509939
,5460,5.035509939
,5706,5.036507248
,5710,5.039055625
,5643,5.039459952
,5799,5.03951071
,5799,5.03951071
,5776,5.039693683
,5776,5.039693683
,5700,5.040621831
,5777,5.040880134
,5644,5.042032817
,5656,5.042343103
,5708,5.045786594
,5682,5.046158144
,5677,5.046838901
,5680,5.047014522
,5580,5.049254351
,5580,5.049254351
,5580,5.049254351
,5580,5.049254351
,5623,5.050243748
,5574,5.050650195
,5574,5.050650195
,5574,5.050650195
,5676,5.052422949
,5664,5.052801831
,5706,5.052904513
,5847,5.054090079
,5847,5.054090079
,5722,5.054886259
,5430,5.05513326
,5681,5.057923126
,5616,5.058201427
,5618,5.059243748
,5805,5.05951071
,5747,5.06237083
,5788,5.063434888
,5788,5.063434888
,5788,5.063434888
,5693,5.063920438
,5692,5.064141093
,5682,5.066227347
,5682,5.066227347
,5694,5.066408248
,5653,5.067088622
,5697,5.067410097
,5679,5.067738675
,5710,5.067802026
,5410,5.068932447
,,5.069020692
,,5.069020692
,,5.069020692
,,5.069020692
,5630,5.06992143
,5730,5.070929404
,5692,5.07242308
,5624,5.07338138
,5635,5.075476064
,5664,5.077440311
,5842,5.078172455
,5703,5.078750912
,5683,5.078793038
,5962,5.079261896
,5449,5.07951071
,5718,5.081497272
,5765,5.081753912
,5633,5.082272247
,5939,5.082391466
,5660,5.082907646
,5667,5.083070691
,5384,5.084220395
,5384,5.084220395
,5806,5.08741054
,5806,5.08741054
,5744,5.087800315
,5744,5.087800315
,5741,5.088446811
,5070,5.088521097
,5659,5.089520199
,5577,5.0903522
,5577,5.0903522
,5577,5.0903522
,5796,5.090476064
,5796,5.090476064
,5600,5.092403737
,5600,5.092403737
,6027,5.092448845
,5653,5.093541445
,5685,5.09383611
,5520,5.095787453
,5709,5.095869622
,5631,5.098213285
,5631,5.098213285
,5663,5.099582948
,5602,5.102193587
,5602,5.102193587
,5602,5.102193587
,5602,5.102193587
,5475,5.106293249
,5660,5.106485912
,5620,5.106999141
,5650,5.107580279
,5629,5.107965504
,5505,5.113495608
,5592,5.11390389
,5675,5.114035715
,5500,5.114393726
,5667,5.119002033
,5608,5.120470674
,,5.120736618
,,5.120736618
,5679,5.121856111
,5745,5.121897488
,5647,5.123157848
,5665,5.126786594
,5677,5.127931133
,5649,5.128671863
