pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
CoRoT-5,b,CoRoT-5 b,6100,3.9,,,
CoRoT-6,b,CoRoT-6 b,6090,3.9,,,4.823380065
CoRoT-7,b,CoRoT-7 b,5275,4.9,,,5.734630663
CoRoT-7,c,CoRoT-7 c,5275,4.9,,,5.734630663
CoRoT-8,b,CoRoT-8 b,5080,5.1,,,6.901082017
CoRoT-9,b,CoRoT-9 b,5625,4.3,,,5.376210842
CoRoTID 223977153,b,CoRoTID 223977153 b,5970,4,-0.155,,
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,,7.15,,,
DH Tau,b,DH Tau b,,6.05,,,
DP Leo,b,DP Leo b,,,,,
EPIC 211822797,b,EPIC 211822797 b,4148.21,6,,1.452,8.894586779
EPIC 211945201,b,EPIC 211945201 b,6069,4,,0.783,3.845426121
EPIC 220674823,b,EPIC 220674823 b,5617,4.5,,0.475,5.146441931
EPIC 220674823,c,EPIC 220674823 c,5617,4.5,,0.475,5.146441931
EPIC 246851721,b,EPIC 246851721 b,6202,3.5,0.526,0.829,3.802784418
FU Tau,b,FU Tau b,2838,6.72,-0.699,,
Fomalhaut,b,Fomalhaut b,,2.3,,0.09,1.727546374
GJ 1132,b,GJ 1132 b,3270,6.45,-2.359,1.68,13.08686757
GJ 1132,c,GJ 1132 c,3270,6.45,-2.359,1.68,13.08686757
GJ 1148,b,GJ 1148 b,3264,6.4,-1.699,1.52,11.70909203
GJ 1148,c,GJ 1148 c,3264,6.4,-1.699,1.52,11.70909203
GJ 1214,b,GJ 1214 b,3026,6.45,,,14.53865116
GJ 1265,b,GJ 1265 b,3236,6.4,-2.439,1.701,13.5142632
GJ 143,b,GJ 143 b,,5.4,-0.706,1.14,6.805069076
GJ 163,b,GJ 163 b,3500,6.35,-1.708,1.48,10.90937062
GJ 163,c,GJ 163 c,3500,6.35,-1.708,1.48,10.90937062
GJ 163,d,GJ 163 d,3500,6.35,-1.708,1.48,10.90937062
GJ 179,b,GJ 179 b,3370,6.35,-1.796,1.52,11.53990765
GJ 273,b,GJ 273 b,3382,6.35,-2.056,1.56,11.97308202
GJ 273,c,GJ 273 c,3382,6.35,-2.056,1.56,11.97308202
GJ 3021,b,GJ 3021 b,5540,4.6,-0.18,0.75,5.367377442
GJ 3138,b,GJ 3138 b,3717,6,-1.347,1.41,
GJ 3138,c,GJ 3138 c,3717,6,-1.347,1.41,
GJ 3138,d,GJ 3138 d,3717,6,-1.347,1.41,
GJ 317,b,GJ 317 b,3510,6.25,,1.5,11.07511526
GJ 317,c,GJ 317 c,3510,6.25,,1.5,11.07511526
GJ 328,b,GJ 328 b,3900,6.1,,1.38,8.406997804
GJ 3293,b,GJ 3293 b,3466,6.25,-1.658,,10.43524315
GJ 3293,c,GJ 3293 c,3466,6.25,-1.658,,10.43524315
GJ 3293,d,GJ 3293 d,3466,6.25,-1.658,,10.43524315
GJ 3293,e,GJ 3293 e,3466,6.25,-1.658,,10.43524315
GJ 3323,b,GJ 3323 b,3159,6.4,-2.569,1.8,13.59044184
GJ 3323,c,GJ 3323 c,3159,6.4,-2.569,1.8,13.59044184
GJ 3341,b,GJ 3341 b,3526,6.25,-1.538,,10.25630722
GJ 3470,b,GJ 3470 b,3600,6.15,,,10.3229973
GJ 3634,b,GJ 3634 b,,6.25,-1.699,,10.44667405
GJ 3779,b,GJ 3779 b,3324,6.4,-2.062,,12.26848651
GJ 378,b,GJ 378 b,3879,6.1,-1.222,1.26,9.315342032
GJ 3942,b,GJ 3942 b,3867,6,-1.12,1.59,9.10543297
GJ 3998,b,GJ 3998 b,3722,6.1,-1.387,1.51,9.57912026
GJ 3998,c,GJ 3998 c,3722,6.1,-1.387,1.51,9.57912026
GJ 411,b,GJ 411 b,3563,6.1,-1.658,1.5,10.4572991
GJ 4276,b,GJ 4276 b,3387,6.4,-1.706,,
GJ 433,b,GJ 433 b,3461,6.15,,1.513,10.01796356
GJ 436,b,GJ 436 b,,6.25,,1.52,10.72275091
GJ 504,b,GJ 504 b,6234,4,0.332,0.58,3.999852055
GJ 536,b,GJ 536 b,3685,6.1,-1.377,1.47,9.713495335
GJ 581,b,GJ 581 b,,6.3,-1.886,1.63,11.56329725
