pl_hostname,pl_letter,pl_name,st_teff,st_sp,st_lum,st_bmvj,absolute-magnitude
K2-149,b,K2-149 b,3745,6.1,-1.31,1.571,9.124589963
K2-15,b,K2-15 b,5131,4.8,,0.827,6.163681346
K2-150,b,K2-150 b,3499,6.2,-1.585,1.524,10.62203657
K2-151,b,K2-151 b,3695,6.1,,1.517,9.926641831
K2-152,b,K2-152 b,4044,6,,1.37,8.54685228
K2-153,b,K2-153 b,3845,6.3,,1.454,9.1932278
K2-154,b,K2-154 b,4097,6,,1.403,8.466626538
K2-154,c,K2-154 c,4097,6,,1.403,8.466626538
K2-155,b,K2-155 b,4258,5.7,,1.267,8.236930738
K2-155,c,K2-155 c,4258,5.7,,1.267,8.236930738
K2-155,d,K2-155 d,4258,5.7,,1.267,8.236930738
K2-156,b,K2-156 b,4597,,,1.213,7.537760819
K2-157,b,K2-157 b,5456,,,0.786,5.431033398
K2-158,b,K2-158 b,5503,,,0.562,5.288481749
K2-158,c,K2-158 c,5503,,,0.562,5.288481749
K2-159,b,K2-159 b,5425,,,0.576,5.817620617
K2-16,b,K2-16 b,4742,5.3,,0.999,7.024196191
K2-16,c,K2-16 c,4742,5.3,,0.999,7.024196191
K2-160,b,K2-160 b,5649,,,0.654,5.135567367
K2-161,b,K2-161 b,4972,,,0.951,2.762844207
K2-162,b,K2-162 b,4842,,,1.01,6.813713452
K2-163,b,K2-163 b,4937,,,0.999,6.521318524
K2-164,b,K2-164 b,5791,,,0.567,3.338140176
K2-165,b,K2-165 b,5185,,,1.118,5.677723255
K2-165,c,K2-165 c,5185,,,1.118,5.677723255
K2-165,d,K2-165 d,5185,,,1.118,5.677723255
K2-166,b,K2-166 b,5960,,,0.566,3.663274618
K2-167,b,K2-167 b,5908,3.7,,0.53,3.6944313
K2-168,b,K2-168 b,5554,,,0.707,5.340211876
K2-169,b,K2-169 b,5548,,,0.737,5.35205382
K2-17,b,K2-17 b,4320,5.7,,1.3,8.024743465
K2-170,b,K2-170 b,5748,,,0.641,4.637625809
K2-170,c,K2-170 c,5748,,,0.641,4.637625809
K2-171,b,K2-171 b,5250,,,0.865,3.710651622
K2-172,b,K2-172 b,5569,,,0.791,5.435223714
K2-172,c,K2-172 c,5569,,,0.791,5.435223714
K2-173,b,K2-173 b,5580,,,0.849,5.593039456
K2-174,b,K2-174 b,4455,,,1.234,7.421829613
K2-175,b,K2-175 b,5909,,,0.668,3.854916059
K2-176,b,K2-176 b,5428,,,0.875,5.911916059
K2-177,b,K2-177 b,6063,,,0.896,4.154410241
K2-178,b,K2-178 b,5525,,,0.873,5.729927144
K2-179,b,K2-179 b,5015,,,1.028,6.541304171
K2-18,b,K2-18 b,3457,6.25,,1.509,10.83860541
K2-18,c,K2-18 c,3457,6.25,,1.509,10.83860541
K2-180,b,K2-180 b,5358,,,0.733,6.047427256
K2-181,b,K2-181 b,5608,,,0.745,4.938606805
K2-182,b,K2-182 b,5165,,,0.871,6.032769424
K2-183,b,K2-183 b,5519,,,0.786,5.241814436
K2-183,c,K2-183 c,5519,,,0.786,5.241814436
K2-183,d,K2-183 d,5519,,,0.786,5.241814436
K2-184,b,K2-184 b,5220,,,0.882,5.946940465
K2-185,b,K2-185 b,5722,,,0.663,5.054886259
K2-186,b,K2-186 b,5784,,,0.644,4.689308141
K2-187,b,K2-187 b,5484,,,0.79,5.465455698
K2-187,c,K2-187 c,5484,,,0.79,5.465455698
K2-187,d,K2-187 d,5484,,,0.79,5.465455698
K2-187,e,K2-187 e,5484,,,0.79,5.465455698
K2-188,b,K2-188 b,5977,,,0.573,4.365988397
K2-188,c,K2-188 c,5977,,,0.573,4.365988397
K2-189,b,K2-189 b,5519,,,0.616,5.462673921
K2-189,c,K2-189 c,5519,,,0.616,5.462673921
K2-19,b,K2-19 b,5430,4.9,,0.796,5.672044875
K2-19,c,K2-19 c,5430,4.9,,0.796,5.672044875
K2-19,d,K2-19 d,5430,4.9,,0.796,5.672044875
K2-190,b,K2-190 b,5631,,,0.639,5.098213285
K2-190,c,K2-190 c,5631,,,0.639,5.098213285
K2-191,b,K2-191 b,5176,,,0.918,5.949232169
K2-192,b,K2-192 b,5222,,,0.846,5.952856851
K2-193,b,K2-193 b,5817,,,0.786,5.150788439
K2-194,b,K2-194 b,5979,,,0.554,3.874895848
K2-195,b,K2-195 b,5713,,,0.635,4.986025561
K2-195,c,K2-195 c,5713,,,0.635,4.986025561
K2-196,b,K2-196 b,6045,,,0.575,3.190738789
K2-197,b,K2-197 b,5667,,,0.727,5.170864095
K2-198,b,K2-198 b,5262,,,0.827,5.746146474
K2-199,b,K2-199 b,4648,,,1.034,7.122484493
K2-199,c,K2-199 c,4648,,,1.034,7.122484493
K2-200,b,K2-200 b,5233,,,0.921,6.122085223
K2-201,b,K2-201 b,5507,,,0.252,6.31418909
K2-201,c,K2-201 c,5507,,,0.252,6.31418909
K2-202,b,K2-202 b,5491,,,0.909,5.889858524
K2-203,b,K2-203 b,5000,,,0.919,6.240328033
K2-204,b,K2-204 b,5755,,,0.633,4.167290452
K2-205,b,K2-205 b,5890,,,0.603,4.327345546
K2-206,b,K2-206 b,5043,,,0.857,6.144089019
K2-207,b,K2-207 b,5522,,,0.74,5.343616576
K2-208,b,K2-208 b,5582,,,0.738,5.438514288
K2-209,b,K2-209 b,4720,,,0.845,6.781872684
K2-21,b,K2-21 b,4222.06,6,,1.29,8.232484665
K2-21,c,K2-21 c,4222.06,6,,1.29,8.232484665
K2-210,b,K2-210 b,5396,,,1.347,5.290354331
K2-211,b,K2-211 b,5221,,,0.953,5.883158602
K2-212,b,K2-212 b,4272,,,1.301,7.906501885
K2-213,b,K2-213 b,5794,,,0.918,3.825243341
K2-214,b,K2-214 b,5854,,,0.341,4.395781143
K2-215,b,K2-215 b,5704,,,0.735,4.929136211
K2-216,b,K2-216 b,4503,5.5,-0.721,1.087,7.15483352
K2-217,b,K2-217 b,5967,,,0.626,4.254007222
K2-218,b,K2-218 b,5757,,,0.725,4.874348847
K2-219,b,K2-219 b,5753,,,0.747,4.507852016
K2-219,c,K2-219 c,5753,,,0.747,4.507852016
K2-219,d,K2-219 d,5753,,,0.747,4.507852016
K2-22,b,K2-22 b,3830,6,,1.445,8.646477181
K2-220,b,K2-220 b,5660,,,0.766,5.035400039
K2-221,b,K2-221 b,5716,,,0.64,5.166217246
K2-222,b,K2-222 b,6058,,,0.495,4.508745198
K2-223,b,K2-223 b,5835,,,0.701,4.913939647
K2-223,c,K2-223 c,5835,,,0.701,4.913939647
K2-224,b,K2-224 b,5620,,,0.675,5.464120601
K2-224,c,K2-224 c,5620,,,0.675,5.464120601
K2-225,b,K2-225 b,5742,,,0.429,4.052678689
K2-226,b,K2-226 b,5424,,,0.886,5.684530431
K2-227,b,K2-227 b,5673,,,0.659,5.641671155
K2-228,b,K2-228 b,4715,,,1.117,7.227450053
K2-229,b,K2-229 b,5315,4.9,,1.063,5.904013232
K2-229,c,K2-229 c,5315,4.9,,1.063,5.904013232
K2-230,b,K2-230 b,5945,,,0.591,4.009533846
K2-231,b,K2-231 b,5695,,,0.792,5.35888992
K2-232,b,K2-232 b,6154,,0.238,0.698,4.309165323
K2-233,b,K2-233 b,4950,5.3,-0.523,0.932,6.574982005
K2-233,c,K2-233 c,4950,5.3,-0.523,0.932,6.574982005
K2-233,d,K2-233 d,4950,5.3,-0.523,0.932,6.574982005
K2-237,b,K2-237 b,6257,3.6,,0.587,3.29667261
K2-238,b,K2-238 b,5630,4.2,,0.857,5.46750899
K2-239,b,K2-239 b,3420,6.3,-1.796,1.657,11.0980196
K2-239,c,K2-239 c,3420,6.3,-1.796,1.657,11.0980196
K2-239,d,K2-239 d,3420,6.3,-1.796,1.657,11.0980196
K2-24,b,K2-24 b,5625,4.9,,0.94,4.900072606
K2-24,c,K2-24 c,5625,4.9,,0.94,4.900072606
K2-240,b,K2-240 b,3810,6,-1.276,1.457,9.1665098
K2-240,c,K2-240 c,3810,6,-1.276,1.457,9.1665098
K2-241,b,K2-241 b,5262,,,0.444,6.095342032
K2-242,b,K2-242 b,3459,,,1.459,11.38894723
K2-243,b,K2-243 b,6570,,,0.537,3.819624722
K2-243,c,K2-243 c,6570,,,0.537,3.819624722
K2-244,b,K2-244 b,5677,,,0.421,5.127931133
K2-245,b,K2-245 b,5793,,,0.535,3.882219853
K2-246,b,K2-246 b,5610,,,0.67,5.254008192
K2-247,b,K2-247 b,4667,,,1.256,7.879463539
K2-247,c,K2-247 c,4667,,,1.256,7.879463539
K2-248,b,K2-248 b,5528,,,0.832,5.335434193
K2-249,b,K2-249 b,6504,,,0.304,3.212596947
K2-25,b,K2-25 b,3180,6.45,-2.076,1.879,12.61445494
K2-250,b,K2-250 b,5172,,,0.929,6.16319755
K2-251,b,K2-251 b,3717,,,1.552,9.774097523
K2-252,b,K2-252 b,5152,,,0.956,6.039305144
K2-253,b,K2-253 b,6027,,,0.938,5.092448845
K2-254,b,K2-254 b,4629,,,1.203,7.380032932
K2-254,c,K2-254 c,4629,,,1.203,7.380032932
K2-255,b,K2-255 b,4676,,,1.197,7.334974661
K2-256,b,K2-256 b,5219,,,0.762,6.11998888
K2-257,b,K2-257 b,3725,,,1.479,9.681709852
K2-258,b,K2-258 b,6351,,,0.598,4.150837832
K2-259,b,K2-259 b,6059,,,0.567,4.408923239
K2-26,b,K2-26 b,3785,6.1,-1.31,1.44,9.544597823
K2-260,b,K2-260 b,6367,3.6,,0.528,3.538238848
K2-261,b,K2-261 b,5537,4.7,,0.949,3.954053795
K2-263,b,K2-263 b,5368,4.9,-0.26,0.742,5.542000097
K2-264,b,K2-264 b,3660,6.2,,,8.958791967
K2-264,c,K2-264 c,3660,6.2,,,8.958791967
K2-265,b,K2-265 b,5477,4.8,,0.785,5.383491853
K2-266,b,K2-266 b,4285,,-0.823,1.193,7.371038905
K2-266,c,K2-266 c,4285,,-0.823,1.193,7.371038905
K2-266,d,K2-266 d,4285,,-0.823,1.193,7.371038905
K2-266,e,K2-266 e,4285,,-0.823,1.193,7.371038905
K2-268,b,K2-268 b,5068,,,0.922,6.25084437
K2-268,c,K2-268 c,5068,,,0.922,6.25084437
K2-269,b,K2-269 b,6209,,,0.582,3.99003729
K2-27,b,K2-27 b,5248,,,0.862,5.637914523
K2-270,b,K2-270 b,4877,,,1.042,6.519004911
K2-270,c,K2-270 c,4877,,,1.042,6.519004911
K2-271,b,K2-271 b,5644,,,0.648,5.042032817
K2-272,b,K2-272 b,5419,,,0.736,5.691048455
K2-273,b,K2-273 b,5200,,,0.911,5.909992743
K2-274,b,K2-274 b,5065,,,0.875,6.250898576
K2-275,b,K2-275 b,4812,,,0.955,6.594316077
K2-275,c,K2-275 c,4812,,,0.955,6.594316077
K2-276,b,K2-276 b,5139,,,0.957,6.176551454
K2-277,b,K2-277 b,5741,,,0.716,5.088446811
K2-278,b,K2-278 b,6747,,,0.745,3.885368676
K2-279,b,K2-279 b,5558,,,0.836,5.169272465
K2-28,b,K2-28 b,3214,6.4,,1.815,12.0605091
K2-280,b,K2-280 b,5742,,,0.733,4.542594505
K2-281,b,K2-281 b,4812,,,1.12,6.774557898
K2-282,b,K2-282 b,5523,,,0.817,5.537270572
K2-283,b,K2-283 b,5060,,,1.071,6.390422223
K2-284,b,K2-284 b,4140,,-1.013,1.391,8.162938643
K2-285,b,K2-285 b,4975,5.2,,1.115,6.069254375
K2-285,c,K2-285 c,4975,5.2,,1.115,6.069254375
K2-285,d,K2-285 d,4975,5.2,,1.115,6.069254375
K2-285,e,K2-285 e,4975,5.2,,1.115,6.069254375
K2-286,b,K2-286 b,3926,6,-1.046,1.355,8.349808192
K2-287,b,K2-287 b,5695,,,0.599,5.402331633
K2-288 B,b,K2-288 B b,3341,6.3,-1.93,1.555,9.779512226
K2-289,b,K2-289 b,5529,,,1.434,7.302558721
K2-29,b,K2-29 b,5358,4.7,,1.071,6.257008851
K2-290,b,K2-290 b,6302,,,0.567,3.917415495
K2-290,c,K2-290 c,6302,,,0.567,3.917415495
K2-291,b,K2-291 b,5520,,-0.166,0.817,5.235801735
K2-3,b,K2-3 b,3896,6,,1.35,8.946330363
K2-3,c,K2-3 c,3896,6,,1.35,8.946330363
K2-3,d,K2-3 d,3896,6,,1.35,8.946330363
K2-30,b,K2-30 b,5425,4.6,-0.256,0.976,5.896623957
K2-31,b,K2-31 b,5280,4.7,,0.831,5.550929762
K2-32,b,K2-32 b,5275,4.9,,0.971,6.311361206
K2-32,c,K2-32 c,5275,4.9,,0.971,6.311361206
K2-32,d,K2-32 d,5275,4.9,,0.971,6.311361206
K2-33,b,K2-33 b,3540,6.33,-0.824,1.639,9.986464143
K2-34,b,K2-34 b,6071,3.9,,0.571,3.81319025
K2-35,b,K2-35 b,4402.71,5.4,,1.19,7.32215841
K2-35,c,K2-35 c,4402.71,5.4,,1.19,7.32215841
K2-36,b,K2-36 b,4924,5.2,,0.843,6.591260641
K2-36,c,K2-36 c,4924,5.2,,0.843,6.591260641
K2-37,b,K2-37 b,5413,4.3,,0.895,6.233287367
K2-37,c,K2-37 c,5413,4.3,,0.895,6.233287367
K2-37,d,K2-37 d,5413,4.3,,0.895,6.233287367
K2-38,b,K2-38 b,5757,4.2,,1,4.954239794
K2-38,c,K2-38 c,5757,4.2,,1,4.954239794
K2-39,b,K2-39 b,4881,,,1.32,3.372211087
K2-4,b,K2-4 b,4014.73,,,1.322,8.066774869
K2-42,b,K2-42 b,4613,,,1.073,7.00532956
K2-43,b,K2-43 b,3889.72,,,1.658,9.278056343
K2-44,b,K2-44 b,5912,,,0.593,3.768410312
K2-45,b,K2-45 b,4103,,,1.27,7.275011194
K2-46,b,K2-46 b,6256,,,0.456,3.739277115
K2-47,b,K2-47 b,5054,,,0.895,6.343790168
K2-48,b,K2-48 b,4899,,,1.011,6.774376861
K2-49,b,K2-49 b,4175,,,1.475,7.339813663
K2-5,b,K2-5 b,3930,5.75,,1.384,8.360572202
K2-5,c,K2-5 c,3930,5.75,,1.384,8.360572202
K2-50,b,K2-50 b,4326,,,1.264,7.6477362
K2-52,b,K2-52 b,7147,,,,4.948286679
K2-53,b,K2-53 b,5263,,,,6.17136435
K2-54,b,K2-54 b,3798,,,1.39,7.816411625
K2-55,b,K2-55 b,4456,,,1.2,7.521874308
K2-57,b,K2-57 b,4434,,,1.178,7.374715039
K2-58,b,K2-58 b,5413,,,0.939,6.069426121
K2-58,c,K2-58 c,5413,,,0.939,6.069426121
K2-58,d,K2-58 d,5413,,,0.939,6.069426121
K2-59,b,K2-59 b,5055,,,0.903,6.740729452
K2-59,c,K2-59 c,5055,,,0.903,6.740729452
K2-6,b,K2-6 b,5850,,,0.648,5.131034091
K2-60,b,K2-60 b,5500,4.4,,0.773,4.299803159
K2-61,b,K2-61 b,6293,,,0.698,4.925227811
K2-62,b,K2-62 b,4880,,,1.108,7.134877059
K2-62,c,K2-62 c,4880,,,1.108,7.134877059
K2-63,b,K2-63 b,6771,,,0.593,4.277645177
K2-64,b,K2-64 b,5312,,,0.805,5.561517063
K2-65,b,K2-65 b,5213,,,0.794,6.338857265
K2-66,b,K2-66 b,5887,,,0.59,3.128188383
K2-68,b,K2-68 b,4746,,,0.988,6.831535853
K2-69,b,K2-69 b,4127,,,,8.511062085
K2-7,b,K2-7 b,5772,,,0.689,3.824300893
K2-70,b,K2-70 b,5622,,,0.926,6.138563583
K2-71,b,K2-71 b,4006,,,,8.939371359
K2-72,b,K2-72 b,3360.47,,,1.383,11.19293343
K2-72,c,K2-72 c,3360.47,,,1.383,11.19293343
K2-72,d,K2-72 d,3360.47,,,1.383,11.19293343
K2-72,e,K2-72 e,3360.47,,,1.383,11.19293343
K2-73,b,K2-73 b,5922,,,1.086,4.177991163
K2-74,b,K2-74 b,6060,,,0.551,4.678536025
K2-75,b,K2-75 b,5995,,,0.645,3.918351934
K2-75,c,K2-75 c,5995,,,0.645,3.918351934
K2-77,b,K2-77 b,4970,,-0.5,1.071,6.391822907
K2-79,b,K2-79 b,5926,,,0.818,5.017743289
K2-8,b,K2-8 b,4870,5.3,,1.117,6.557071773
K2-8,c,K2-8 c,4870,5.3,,1.117,6.557071773
K2-80,b,K2-80 b,5441,,,0.984,6.09967319
K2-80,c,K2-80 c,5441,,,0.984,6.09967319
K2-80,d,K2-80 d,5441,,,0.984,6.09967319
K2-81,b,K2-81 b,4674.13,,,1.196,7.338634872
K2-83,b,K2-83 b,3910,,,1.539,9.01249198
K2-83,c,K2-83 c,3910,,,1.539,9.01249198
K2-84,b,K2-84 b,5652,,,0.991,6.151851009
K2-84,c,K2-84 c,5652,,,0.991,6.151851009
K2-85,b,K2-85 b,4268,,,0.973,7.886199648
K2-86,b,K2-86 b,5482,,,0.647,6.087044619
K2-87,b,K2-87 b,5747,,,1.179,5.623571393
K2-88,b,K2-88 b,3537,,,1.526,10.25114647
K2-89,b,K2-89 b,3691,,,1.466,9.483204481
K2-9,b,K2-9 b,3390,6.25,-1.921,,11.0304276
K2-90,b,K2-90 b,4484,,,1.325,8.204940252
K2-90,c,K2-90 c,4484,,,1.325,8.204940252
K2-91,b,K2-91 b,3622,,,1.507,11.58600865
K2-95,b,K2-95 b,3548,6.3,,,9.21405059
K2-97,b,K2-97 b,4717,,,1.159,2.914002846
K2-98,b,K2-98 b,6172,3.8,,0.48,3.559791891
K2-99,b,K2-99 b,6217,4,,0.601,2.559441446
KELT-1,b,KELT-1 b,6518,,0.542,,3.609493543
KELT-10,b,KELT-10 b,5948,4,0.217,0.608,4.541744551
KELT-11,b,KELT-11 b,5375,4.9,,0.831,3.083869622
KELT-12,b,KELT-12 b,6279,,0.892,,2.808487496
KELT-14,b,KELT-14 b,5720,4.4,,0.78,3.875591817
KELT-15,b,KELT-15 b,6003,,,0.556,3.869535055
KELT-16,b,KELT-16 b,6236,3.7,0.401,,3.630586713
KELT-17,b,KELT-17 b,7454,2,0.876,,2.674903526
KELT-18,b,KELT-18 b,6670,3.4,0.813,,2.653198055
KELT-19 A,b,KELT-19 A b,7500,2.8,0.978,,2.479220646
KELT-2 A,b,KELT-2 A b,6327,3.8,,0.516,3.068258738
KELT-20,b,KELT-20 b,8720,2.2,1.104,0.089,1.854017969
KELT-21,b,KELT-21 b,7598,2.8,0.905,,
KELT-3,b,KELT-3 b,6304,,,,3.620899988
KELT-4 A,b,KELT-4 A b,6206,3,0.535,0.49,3.368903526
KELT-6,b,KELT-6 b,6102,3.8,,,3.686235128
KELT-6,c,KELT-6 c,6102,3.8,,,3.686235128
KELT-7,b,KELT-7 b,6768,3,,0.43,2.987051449
KELT-8,b,KELT-8 b,5754,4.2,,0.712,3.968439985
KELT-9,b,KELT-9 b,10170,1.98,1.724,0.037,1.171140499
KIC 10001893,b,KIC 10001893 b,27500,,,,4.620325182
KIC 10001893,c,KIC 10001893 c,27500,,,,4.620325182
KIC 10001893,d,KIC 10001893 d,27500,,,,4.620325182
KIC 10525077,b,KIC 10525077 b,6091,,,,4.527116634
KIC 3558849,b,KIC 3558849 b,6175,,,,3.793975091
KIC 5437945,b,KIC 5437945 b,6340,,,,4.129020739
KIC 5951458,b,KIC 5951458 b,6258,,,,3.359400732
KIC 7917485,b,KIC 7917485 b,7067,2,0.996,,2.496658593
KOI-7892,b,KIC 8540376 b,6474,,,,4.142783012
KOI-7892,c,KIC 8540376 c,6474,,,,4.142783012
KIC 9663113,b,KIC 9663113 b,6065,,,,2.942095289
KMT-2016-BLG-1107L,b,KMT-2016-BLG-1107L b,,,,,
KMT-2016-BLG-1397L,b,KMT-2016-BLG-1397L b,,,,,
KMT-2016-BLG-1820L,b,KMT-2016-BLG-1820L b,,,,,
KMT-2016-BLG-2142L,b,KMT-2016-BLG-2142L b,,,,,
KMT-2017-BLG-1038L,b,KMT-2017-BLG-1038L b,,,,,
KMT-2017-BLG-1146L,b,KMT-2017-BLG-1146L b,,,,,
KOI-12,b,KOI-12 b,6820,,,,3.205952004
KOI-1257,b,KOI-1257 b,5520,4.5,,0.963,5.095787453
KOI-13,b,KOI-13 b,7650,,,,1.867759516
KOI-142,b,KOI-142 b,5471,4.6,-0.223,,5.459001509
KOI-142,c,KOI-142 c,5471,4.6,-0.223,,5.459001509
KOI-217,b,KOI-217 b,5545,,,,5.611550065
KOI-351,b,KOI-351 b,6080,,,,4.343526987
KOI-351,c,KOI-351 c,6080,,,,4.343526987
KOI-351,d,KOI-351 d,6080,,,,4.343526987
KOI-351,e,KOI-351 e,6080,,,,4.343526987
KOI-351,f,KOI-351 f,6080,,,,4.343526987
KOI-351,g,KOI-351 g,6080,,,,4.343526987
KOI-351,h,KOI-351 h,6080,,,,4.343526987
KOI-351,i,KOI-351 i,6080,,,,4.343526987
KOI-3680,b,KOI-3680 b,5830,,,,4.889190439
KOI-55,b,KOI-55 b,27730,1,1.36,,4.510589963
KOI-55,c,KOI-55 c,27730,1,1.36,,4.510589963
KOI-94,b,KOI-94 b,6182,,0.479,,3.881790122
KOI-94,c,KOI-94 c,6182,,0.479,,3.881790122
KOI-94,d,KOI-94 d,6182,,0.479,,3.881790122
KOI-94,e,KOI-94 e,6182,,0.479,,3.881790122
KPS-1,b,KPS-1 b,5165,5.1,,,5.91931233
Kapteyn,c,Kapteyn c,3550,6,,1.57,10.87303725
Kepler-10,b,Kepler-10 b,5627,,,,4.749769484
Kepler-10,c,Kepler-10 c,5627,,,,4.749769484
Kepler-100,b,Kepler-100 b,5825,,,,3.833217753
Kepler-100,c,Kepler-100 c,5825,,,,3.833217753
Kepler-100,d,Kepler-100 d,5825,,,,3.833217753
Kepler-1000,b,Kepler-1000 b,6453,,,,3.425291336
Kepler-1001,b,Kepler-1001 b,5491,,,,5.318544169
Kepler-1002,b,Kepler-1002 b,6144,,,,3.56205535
Kepler-1003,b,Kepler-1003 b,6109,,,,4.347928781
Kepler-1004,b,Kepler-1004 b,4972,,,,3.259881223
Kepler-1005,b,Kepler-1005 b,5782,,,,4.690963855
Kepler-1006,b,Kepler-1006 b,5328,,,,6.085591618
Kepler-1007,b,Kepler-1007 b,4587,,,,6.932535678
Kepler-1008,b,Kepler-1008 b,5066,,,,6.016644058
Kepler-1009,b,Kepler-1009 b,4027,,,,8.0344684
Kepler-101,b,Kepler-101 b,5667,4.3,,0.72,4.712173152
Kepler-101,c,Kepler-101 c,5667,4.3,,0.72,4.712173152
Kepler-1010,b,Kepler-1010 b,5253,,,,5.758350825
Kepler-1011,b,Kepler-1011 b,5416,,,,5.523507744
Kepler-1012,b,Kepler-1012 b,5556,,,,5.200753548
Kepler-1013,b,Kepler-1013 b,4954,,,,6.234560518
Kepler-1014,b,Kepler-1014 b,5388,,,,5.503153635
Kepler-1015,b,Kepler-1015 b,6769,,,,2.970920438
Kepler-1016,b,Kepler-1016 b,5821,,,,4.890643468
Kepler-1016,c,Kepler-1016 c,5821,,,,4.890643468
Kepler-1017,b,Kepler-1017 b,5473,,,,5.421451176
Kepler-1018,b,Kepler-1018 b,5518,,,,5.284312406
Kepler-1019,b,Kepler-1019 b,4433,,,,7.106674049
Kepler-102,b,Kepler-102 b,4909,,-0.553,,6.285036574
Kepler-102,c,Kepler-102 c,4909,,-0.553,,6.285036574
Kepler-102,d,Kepler-102 d,4909,,-0.553,,6.285036574
Kepler-102,e,Kepler-102 e,4909,,-0.553,,6.285036574
Kepler-102,f,Kepler-102 f,4909,,-0.553,,6.285036574
Kepler-1020,b,Kepler-1020 b,5227,,,,5.784325706
Kepler-1021,b,Kepler-1021 b,5431,,,,5.55037271
Kepler-1022,b,Kepler-1022 b,4445,,,,7.098943017
Kepler-1023,b,Kepler-1023 b,5494,,,,5.338379421
Kepler-1024,b,Kepler-1024 b,5143,,,,5.946395235
Kepler-1025,b,Kepler-1025 b,6089,,,,4.298434888
Kepler-1026,b,Kepler-1026 b,4948,,,,6.304251993
Kepler-1027,b,Kepler-1027 b,5436,,,,5.532535055
Kepler-1028,b,Kepler-1028 b,5522,,,,5.31798145
Kepler-1029,b,Kepler-1029 b,5030,,,,6.183437745
Kepler-103,b,Kepler-103 b,5845,,,,3.858291307
Kepler-103,c,Kepler-103 c,5845,,,,3.858291307
Kepler-1030,b,Kepler-1030 b,4983,,,,6.217164357
Kepler-1031,b,Kepler-1031 b,6011,,,,4.45090896
Kepler-1032,b,Kepler-1032 b,4647,,,,6.837056545
Kepler-1033,b,Kepler-1033 b,5547,,,,5.216925678
Kepler-1034,b,Kepler-1034 b,5198,,,,5.845976495
Kepler-1035,b,Kepler-1035 b,5763,,,,4.933699185
Kepler-1036,b,Kepler-1036 b,5533,,,,5.274960203
Kepler-1037,b,Kepler-1037 b,5105,,,,5.958117291
Kepler-1038,b,Kepler-1038 b,5335,,,,5.870048077
Kepler-1039,b,Kepler-1039 b,4870,,,,6.592274949
Kepler-104,b,Kepler-104 b,5711,,,,4.569474769
Kepler-104,c,Kepler-104 c,5711,,,,4.569474769
Kepler-104,d,Kepler-104 d,5711,,,,4.569474769
Kepler-1040,b,Kepler-1040 b,5694,,,,4.953694296
Kepler-1041,b,Kepler-1041 b,5957,,,,4.536086541
Kepler-1042,b,Kepler-1042 b,4815,,,,6.534572927
Kepler-1043,b,Kepler-1043 b,5629,,,,5.160779907
Kepler-1044,b,Kepler-1044 b,5985,,,,4.477433738
Kepler-1045,b,Kepler-1045 b,5301,,,,5.65690385
Kepler-1046,b,Kepler-1046 b,5913,,,,4.714351201
Kepler-1047,b,Kepler-1047 b,5754,,,,4.586917844
Kepler-1047,c,Kepler-1047 c,5754,,,,4.586917844
Kepler-1048,b,Kepler-1048 b,4651,,,,6.741759516
Kepler-1049,b,Kepler-1049 b,3864,,,,8.667051449
Kepler-105,b,Kepler-105 b,5827,,,,4.194343565
Kepler-105,c,Kepler-105 c,5827,,,,4.194343565
Kepler-1050,b,Kepler-1050 b,6010,,,,4.405535084
Kepler-1050,c,Kepler-1050 c,6010,,,,4.405535084
Kepler-1051,b,Kepler-1051 b,6675,,,,3.15487129
Kepler-1052,b,Kepler-1052 b,5888,,,,4.76798642
Kepler-1053,b,Kepler-1053 b,4529,,,,6.991019448
Kepler-1054,b,Kepler-1054 b,6209,,,,4.030053505
Kepler-1055,b,Kepler-1055 b,5723,,,,4.963437745
Kepler-1056,b,Kepler-1056 b,6127,,,,4.61390385
Kepler-1057,b,Kepler-1057 b,5987,,,,4.799263137
Kepler-1058,b,Kepler-1058 b,4644,,,,6.897203483
Kepler-1059,b,Kepler-1059 b,4906,,,,6.343924679
Kepler-106,b,Kepler-106 b,5858,,,,4.611117291
Kepler-106,c,Kepler-106 c,5858,,,,4.611117291
Kepler-106,d,Kepler-106 d,5858,,,,4.611117291
Kepler-106,e,Kepler-106 e,5858,,,,4.611117291
Kepler-1060,b,Kepler-1060 b,5797,,,,4.956984243
Kepler-1061,b,Kepler-1061 b,6067,,,,4.42722067
Kepler-1062,b,Kepler-1062 b,4597,,,,6.851841372
Kepler-1063,b,Kepler-1063 b,5945,,,,4.449535678
Kepler-1064,b,Kepler-1064 b,5153,,,,5.890641989
Kepler-1065,b,Kepler-1065 b,5635,,,,5.376906196
Kepler-1065,c,Kepler-1065 c,5635,,,,5.376906196
Kepler-1066,b,Kepler-1066 b,5762,,,,5.002135522
Kepler-1067,b,Kepler-1067 b,5592,,,,5.11390389
Kepler-1068,b,Kepler-1068 b,5806,,,,4.891706174
Kepler-1069,b,Kepler-1069 b,5722,,,,4.960553715
Kepler-107,b,Kepler-107 b,5851,,,,3.940650195
Kepler-107,c,Kepler-107 c,5851,,,,3.940650195
Kepler-107,d,Kepler-107 d,5851,,,,3.940650195
Kepler-107,e,Kepler-107 e,5851,,,,3.940650195
Kepler-1070,b,Kepler-1070 b,6261,,,,3.891833304
Kepler-1071,b,Kepler-1071 b,5215,,,,5.88061483
